EMS,Emergency Medical Technology,,,,
FSE,Funeral Services,,,,
HIT,Health Information Technology,,,,
HPS,Health Sciences,,,,
HUS,Human Services,,,,
MAT,Medical Assisting Technology,,,,
MLT,Medical Laboratory Technology,,,,
MTR,Medical Transcription,,,,
NAS,Nurse Assistant,,,,
NUR,Nursing R.N. Associate Degree,,,,
OTA,Occupational Therapy Assistant,,,,
PHM,Pharmacy Technician Assistant,,,,
PSG,Polysomnographic Technology,,,,
PTA,Physical Therapy Assistant,,,,
RAD,Medical Radiologic Technology,,,,
RPT,Respiratory Care Therapy/Therapist,,,,
SUR,Surgical Technology,,,,
VET,Veterinarian Technician,,,,
ADL,Adult Literacy (Prison Only),,,,
ALI,Alabama Language Institute,,,,
BIO,Biology,,,,
BSR,Basic Reading Skills,,,,
BSS,Basic Study Skills,,,,
CHM,Chemistry,,,,
ENG,English - College Preparatory/Developmental Studies,,,,
ENR,English and Reading,,,,
ESL,Alabama Language Institute,,,,
MTH,Mathematics-College Prep-Developmental Studies,,,,
MUS,Music-College Prep-Developmental Studies,,,,
PSY,Psychology - College Preparation/Developmental Studies,,,,
RDG,Reading - College Prep-Developmental Studies,,,,
